Name;Accession;Organism;collection_date;country;host;strain
R-Nov-17-YB19;MZ670830.1;Yam mosaic virus;2017-11-14;Nigeria;Dioscorea cayenensis subsp. rotundata;R-Nov-17-YB19
R-Nov-17-YB20;MZ670831.1;Yam mosaic virus;2017-11-14;Nigeria;Dioscorea cayenensis subsp. rotundata;R-Nov-17-YB20
R-Nov-17-YB20;MZ670831.1;Yam mosaic virus;2017-11-14;Nigeria;Dioscorea cayenensis subsp. rotundata;R-Nov-17-YB20
R-Nov-17-YB20;MZ670831.1;Yam mosaic virus;2017-11-14;Nigeria;Dioscorea cayenensis subsp. rotundata;R-Nov-17-YB20
R-Nov-17-YB21;MZ670832.1;Yam mosaic virus;2017-11-14;Nigeria;Dioscorea cayenensis subsp. rotundata;R-Nov-17-YB21
R-Nov-17-YB21;MZ670832.1;Yam mosaic virus;2017-11-14;Nigeria;Dioscorea cayenensis subsp. rotundata;R-Nov-17-YB21
R-Nov-17-YB21;MZ670832.1;Yam mosaic virus;2017-11-14;Nigeria;Dioscorea cayenensis subsp. rotundata;R-Nov-17-YB21
F-Apr-18-5-M3;MZ670833.1;Yam mosaic virus;2018-09-06;Nigeria;Dioscorea cayenensis subsp. rotundata;F-Apr-18-5-M3
F-Apr-18-5-M3;MZ670833.1;Yam mosaic virus;2018-09-06;Nigeria;Dioscorea cayenensis subsp. rotundata;F-Apr-18-5-M3
F-Apr-18-5-M3;MZ670833.1;Yam mosaic virus;2018-09-06;Nigeria;Dioscorea cayenensis subsp. rotundata;F-Apr-18-5-M3
F-Apr-18-5-L3-1;MZ670834.1;Yam mosaic virus;2018-04-15;Nigeria;Dioscorea cayenensis subsp. rotundata;F-Apr-18-5-L3-1
F-Apr-18-5-L3-1;MZ670834.1;Yam mosaic virus;2018-04-15;Nigeria;Dioscorea cayenensis subsp. rotundata;F-Apr-18-5-L3-1
F-Apr-18-5-L3-1;MZ670834.1;Yam mosaic virus;2018-04-15;Nigeria;Dioscorea cayenensis subsp. rotundata;F-Apr-18-5-L3-1
F-Apr-18-5-L1-1;MZ670835.1;Yam mosaic virus;2018-04-15;Nigeria;Dioscorea cayenensis subsp. rotundata;F-Apr-18-5-L1-1
F-Apr-18-5-L1-1;MZ670835.1;Yam mosaic virus;2018-04-15;Nigeria;Dioscorea cayenensis subsp. rotundata;F-Apr-18-5-L1-1
F-Apr-18-5-L1-1;MZ670835.1;Yam mosaic virus;2018-04-15;Nigeria;Dioscorea cayenensis subsp. rotundata;F-Apr-18-5-L1-1
F-Apr-18-5-L3-2;MZ670836.1;Yam mosaic virus;2018-04-15;Nigeria;Dioscorea cayenensis subsp. rotundata;F-Apr-18-5-L3-2
F-Apr-18-5-L3-2;MZ670836.1;Yam mosaic virus;2018-04-15;Nigeria;Dioscorea cayenensis subsp. rotundata;F-Apr-18-5-L3-2
F-Apr-18-5-L3-2;MZ670836.1;Yam mosaic virus;2018-04-15;Nigeria;Dioscorea cayenensis subsp. rotundata;F-Apr-18-5-L3-2
F-Apr-18-5-L3-3;MZ670837.1;Yam mosaic virus;2018-04-15;Nigeria;Dioscorea cayenensis subsp. rotundata;F-Apr-18-5-L3-3
F-Apr-18-5-L3-3;MZ670837.1;Yam mosaic virus;2018-04-15;Nigeria;Dioscorea cayenensis subsp. rotundata;F-Apr-18-5-L3-3
F-Apr-18-5-L3-3;MZ670837.1;Yam mosaic virus;2018-04-15;Nigeria;Dioscorea cayenensis subsp. rotundata;F-Apr-18-5-L3-3
F-Apr-18-5-L1-2;MZ670838.1;Yam mosaic virus;2018-04-15;Nigeria;Dioscorea cayenensis subsp. rotundata;F-Apr-18-5-L1-2
F-Apr-18-5-L1-2;MZ670838.1;Yam mosaic virus;2018-04-15;Nigeria;Dioscorea cayenensis subsp. rotundata;F-Apr-18-5-L1-2
F-Apr-18-5-L1-2;MZ670838.1;Yam mosaic virus;2018-04-15;Nigeria;Dioscorea cayenensis subsp. rotundata;F-Apr-18-5-L1-2
F-Apr-18-5-2;MZ670839.1;Yam mosaic virus;2018-04-15;Nigeria;Dioscorea cayenensis subsp. rotundata;F-Apr-18-5-2
F-Apr-18-5-2;MZ670839.1;Yam mosaic virus;2018-04-15;Nigeria;Dioscorea cayenensis subsp. rotundata;F-Apr-18-5-2
F-Apr-18-5-2;MZ670839.1;Yam mosaic virus;2018-04-15;Nigeria;Dioscorea cayenensis subsp. rotundata;F-Apr-18-5-2
F-Apr-18-5-L1-3;MZ670840.1;Yam mosaic virus;2018-04-15;Nigeria;Dioscorea cayenensis subsp. rotundata;F-Apr-18-5-L1-3
F-Apr-18-5-L1-3;MZ670840.1;Yam mosaic virus;2018-04-15;Nigeria;Dioscorea cayenensis subsp. rotundata;F-Apr-18-5-L1-3
F-Apr-18-5-L1-3;MZ670840.1;Yam mosaic virus;2018-04-15;Nigeria;Dioscorea cayenensis subsp. rotundata;F-Apr-18-5-L1-3
